Distance mahalanobis,Phrase,Index phrase,Roman
3.8478308,On n ’ entendait aucun bruit de pas dans les allées .,1625,0ducote.txt
4.6655617,"Pour revenir au son , qu ' on épaississe encore les boules qui ferment le conduit auditif , elles obligent au pianissimo la jeune fille qui jouait au - dessus de notre tête un air turbulent ;",12375,2guermantes1.txt
4.8147645,"J ' entendais le tic tac de la montre de Saint - Loup , laquelle ne devait pas être bien loin de moi .",12359,2guermantes1.txt
4.895736,"Je restai un instant devant sa porte fermée , car j ' entendais remuer ;",12347,2guermantes1.txt
4.945684,Enfin la berloque sonna comme j ’ arrivais à la maison .,38841,6retrouve1.txt
4.963286,"l ’ intérêt de la lecture , magique comme un profond sommeil , avait donné le change à mes oreilles hallucinées et effacé la cloche d ’ or sur la surface azurée du silence .",1002,0ducote.txt
5.011994,"Ceux qui étaient entrés ou rentrés dans ma mémoire , au cours de ce dîner , aimantaient à leur tour , appelaient à eux avec une telle force les pièces au milieu desquelles ils avaient l ' habitude d ' être enclavés , que mes mains électrisées ne purent pas résister plus de quarante - huit heures à la force qui les conduisait vers le volume où étaient reliés les _ Orientales _ et les _ Chants du Crépuscule _ .",18981,2guermantes3.txt
5.0713596,"Le pianissimo ne suffit plus , la boule fait instantanément fermer le clavier et la leçon de musique est brusquement finie ;",12377,2guermantes1.txt
5.1220894,"Les paroles qui s ' échangeaient entre les jeunes filles de la petite bande et moi étaient peu intéressantes , rares d ' ailleurs , coupées de ma part de longs silences .",11030,1ombre3.txt
5.16808,"Mon indignation fut plus grande quand , en arrivant à la maison où logeait Morel , je reconnus la voix du violoniste , lequel , par le besoin qu ' il avait d ' épandre de la gaîté , chantait de tout coeur : « Le samedi soir , après le turrbin ! »",26954,3sodome2.txt
5.1958923,Je croyais l ' entendre à cet endroit - là ;,12364,2guermantes1.txt
5.2275844,"il y en avait donc une que je n ’ avais pas entendue , quelque chose qui avait eu lieu n ’ avait pas eu lieu pour moi ;",1001,0ducote.txt
5.256041,Ce n ' était pas du reste que de la musique de lui que me jouait Albertine ;,33104,4laprison.txt
5.2794538,"Quand est - ce que je pourrai passer toute la sainte journée sous tes aubépines et nos pauvres lilas - - en écoutant les pinsons et la Vivonne qui fait comme le murmure de quelqu ' un qui chuchoterait , au lieu d ' entendre cette misérable sonnette de notre jeune maître qui ne reste jamais une demi - heure sans me faire courir le long de ce satané couloir .",11721,2guermantes1.txt
5.325981,"Puis j ' entendais le bruissement de la jupe d ' Albertine se dirigeant vers sa chambre , car par discrétion et sans doute aussi par ces égards où , autrefois , dans nos dîners à la Raspelière , elle s ' était ingéniée pour que je ne fusse pas jaloux , elle ne venait pas vers la mienne sachant que je n ' étais pas seul .",28592,4laprison.txt
